code_zone,zone,dispo_int,import,dispo_prot,dispo_alim,export,residus,var_stock,prod,nourriture,population
1,Arménie,47.0,35.0,5.44,54.0,0.0,0.0,-2.0,11.0,47.0,2944.791
2,Afghanistan,57.0,29.0,0.54,5.0,0.0,0.0,0.0,28.0,55.0,36296.113
3,Albanie,47.0,38.0,6.26,85.0,0.0,0.0,4.0,13.0,47.0,2884.169
4,Algérie,277.0,2.0,1.97,22.0,0.0,0.0,0.0,275.0,264.0,41389.189
7,Angola,319.0,277.0,3.6,35.0,0.0,0.0,-0.0,42.0,315.0,29816.766
8,Antigua-et-Barbuda,7.0,7.0,17.77,233.0,0.0,0.0,0.0,0.0,5.0,95.426
9,Argentine,1962.0,8.0,13.53,182.0,207.0,0.0,0.0,2161.0,1856.0,43937.14
10,Australie,1171.0,16.0,16.6,192.0,42.0,-0.0,71.0,1269.0,1171.0,24584.62
11,Autriche,173.0,110.0,7.49,65.0,78.0,-0.0,8.0,148.0,160.0,8819.901
12,Bahamas,26.0,24.0,14.61,182.0,0.0,0.0,4.0,6.0,16.0,381.755
14,Barbade,17.0,2.0,15.33,199.0,0.0,-0.0,0.0,15.0,13.0,286.232
16,Bangladesh,250.0,0.0,0.47,7.0,0.0,0.0,-0.0,249.0,240.0,159685.424
19,Bolivie (État plurinational de),429.0,1.0,11.43,155.0,1.0,0.0,103.0,533.0,403.0,11192.855
20,Botswana,7.0,3.0,1.19,12.0,0.0,0.0,0.0,5.0,7.0,2205.08
21,Brésil,9982.0,3.0,15.68,204.0,4223.0,-0.0,0.0,14201.0,9982.0,207833.823
23,Belize,19.0,0.0,8.26,110.0,0.0,0.0,1.0,20.0,10.0,375.769
25,Îles Salomon,3.0,6.0,1.51,18.0,0.0,0.0,3.0,0.0,3.0,636.039
27,Bulgarie,157.0,108.0,8.74,81.0,45.0,0.0,13.0,107.0,157.0,7102.444
28,Myanmar,1666.0,3.0,9.93,116.0,0.0,0.0,-1.0,1662.0,1621.0,53382.523
32,Cameroun,82.0,0.0,1.07,11.0,0.0,0.0,-0.0,81.0,78.0,24566.073
33,Canada,1433.0,182.0,13.86,154.0,163.0,-0.0,3.0,1417.0,1433.0,36732.095
35,Cabo Verde,10.0,12.0,6.52,62.0,0.0,0.0,4.0,1.0,9.0,537.498
37,République centrafricaine,11.0,4.0,0.78,8.0,0.0,0.0,-0.0,7.0,11.0,4596.023
38,Sri Lanka,192.0,0.0,2.64,26.0,2.0,-0.0,-1.0,192.0,164.0,21128.032
39,Tchad,7.0,1.0,0.15,2.0,0.0,0.0,-0.0,6.0,7.0,15016.753
40,Chili,672.0,155.0,12.21,153.0,115.0,0.0,80.0,712.0,672.0,18470.439
41,"Chine, continentale",18161.0,452.0,3.96,59.0,576.0,-1.0,-50.0,18236.0,17518.0,1421021.791
44,Colombie,1643.0,78.0,9.57,111.0,2.0,0.0,-4.0,1564.0,1565.0,48909.839
46,Congo,110.0,104.0,7.45,72.0,0.0,0.0,-0.0,7.0,110.0,5110.695
48,Costa Rica,134.0,17.0,7.93,92.0,3.0,0.0,13.0,133.0,131.0,4949.954
49,Cuba,342.0,312.0,7.12,82.0,0.0,0.0,-1.0,29.0,269.0,11339.254
50,Chypre,38.0,14.0,9.58,91.0,1.0,-0.0,0.0,25.0,30.0,1179.678
52,Azerbaïdjan,129.0,27.0,4.45,44.0,0.0,0.0,2.0,104.0,129.0,9845.32
53,Bénin,161.0,123.0,4.98,37.0,0.0,0.0,-20.0,18.0,161.0,11175.198
54,Danemark,167.0,133.0,12.97,112.0,139.0,0.0,0.0,173.0,166.0,5732.274
55,Dominique,4.0,4.0,11.52,150.0,0.0,0.0,0.0,0.0,3.0,71.458
56,République dominicaine,375.0,42.0,10.88,123.0,6.0,0.0,0.0,339.0,371.0,10513.104
57,Bélarus,265.0,21.0,9.41,95.0,152.0,0.0,67.0,463.0,264.0,9450.231
58,Équateur,341.0,0.0,6.15,83.0,0.0,0.0,-1.0,340.0,324.0,16785.361
59,Égypte,1250.0,110.0,4.51,50.0,1.0,-1.0,-23.0,1118.0,1250.0,96442.591
60,El Salvador,131.0,16.0,6.25,71.0,2.0,0.0,20.0,136.0,131.0,6388.126
63,Estonie,29.0,21.0,7.27,86.0,11.0,0.0,2.0,20.0,28.0,1319.39
66,Fidji,26.0,3.0,9.44,97.0,0.0,-0.0,1.0,23.0,25.0,877.459
67,Finlande,111.0,16.0,7.87,68.0,12.0,-0.0,22.0,129.0,103.0,5511.371
68,France,1573.0,506.0,8.95,92.0,501.0,-2.0,183.0,1750.0,1485.0,64842.509
70,Polynésie française,15.0,15.0,16.2,167.0,0.0,0.0,0.0,1.0,13.0,276.102
72,Djibouti,3.0,3.0,0.92,9.0,0.0,0.0,0.0,0.0,3.0,944.099
73,Géorgie,61.0,51.0,5.19,51.0,5.0,-0.0,6.0,22.0,61.0,4008.716
74,Gabon,78.0,76.0,10.59,99.0,0.0,0.0,2.0,4.0,61.0,2064.823
75,Gambie,8.0,16.0,1.24,12.0,0.0,0.0,10.0,2.0,8.0,2213.889
79,Allemagne,1739.0,842.0,7.96,71.0,646.0,-38.0,-29.0,1514.0,1609.0,82658.409
80,Bosnie-Herzégovine,55.0,10.0,5.66,56.0,8.0,-1.0,8.0,61.0,56.0,3351.525
81,Ghana,211.0,151.0,2.26,16.0,0.0,0.0,0.0,60.0,211.0,29121.465
83,Kiribati,2.0,1.0,6.65,63.0,0.0,0.0,0.0,1.0,2.0,114.158
84,Grèce,178.0,79.0,6.32,53.0,29.0,0.0,118.0,246.0,162.0,10569.45
86,Grenade,8.0,7.0,15.5,192.0,0.0,-0.0,-0.0,1.0,5.0,110.874
89,Guatemala,357.0,129.0,6.11,71.0,7.0,-3.0,-0.0,235.0,348.0,16914.97
90,Guinée,50.0,37.0,1.42,14.0,0.0,0.0,-0.0,13.0,49.0,12067.519
91,Guyana,32.0,0.0,12.33,165.0,0.0,0.0,-1.0,31.0,30.0,775.222
93,Haïti,98.0,89.0,2.75,31.0,0.0,0.0,-0.0,9.0,98.0,10982.366
95,Honduras,205.0,12.0,6.98,93.0,1.0,0.0,-1.0,193.0,205.0,9429.013
96,Chine - RAS de Hong-Kong,280.0,907.0,22.26,210.0,663.0,-125.0,-12.0,24.0,391.0,7306.322
97,Hongrie,266.0,58.0,9.8,104.0,210.0,-13.0,74.0,493.0,246.0,9729.823
98,Croatie,45.0,24.0,4.06,37.0,17.0,0.0,22.0,61.0,45.0,4182.857
99,Islande,10.0,2.0,12.33,104.0,0.0,0.0,1.0,10.0,10.0,334.393
