Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species,Date
1,5.1,3.5,1.4,0.2,setosa,2024-03-03
2,4.9,3.0,1.4,0.2,setosa,2024-03-03
3,4.7,3.2,1.3,0.2,setosa,2024-03-03
4,4.6,3.1,1.5,0.2,setosa,2024-03-03
5,5.0,3.6,1.4,0.2,setosa,2024-03-03
6,5.4,3.9,1.7,0.4,setosa,2024-03-03
7,4.6,3.4,1.4,0.3,setosa,2024-03-03
8,5.0,3.4,1.5,0.2,setosa,2024-03-03
9,4.4,2.9,1.4,0.2,setosa,2024-03-03
10,4.9,3.1,1.5,0.1,setosa,2024-03-03
11,5.4,3.7,1.5,0.2,setosa,2024-03-03
12,4.8,3.4,1.6,0.2,setosa,2024-03-03
13,4.8,3.0,1.4,0.1,setosa,2024-03-03
14,4.3,3.0,1.1,0.1,setosa,2024-03-03
15,5.8,4.0,1.2,0.2,setosa,2024-03-03
16,5.7,4.4,1.5,0.4,setosa,2024-03-03
17,5.4,3.9,1.3,0.4,setosa,2024-03-03
18,5.1,3.5,1.4,0.3,setosa,2024-03-03
19,5.7,3.8,1.7,0.3,setosa,2024-03-03
20,5.1,3.8,1.5,0.3,setosa,2024-03-03
21,5.4,3.4,1.7,0.2,setosa,2024-03-03
22,5.1,3.7,1.5,0.4,setosa,2024-03-03
23,4.6,3.6,1.0,0.2,setosa,2024-03-03
24,5.1,3.3,1.7,0.5,setosa,2024-03-03
25,4.8,3.4,1.9,0.2,setosa,2024-03-03
26,5.0,3.0,1.6,0.2,setosa,2024-03-03
27,5.0,3.4,1.6,0.4,setosa,2024-03-03
28,5.2,3.5,1.5,0.2,setosa,2024-03-03
29,5.2,3.4,1.4,0.2,setosa,2024-03-03
30,4.7,3.2,1.6,0.2,setosa,2024-03-03
31,4.8,3.1,1.6,0.2,setosa,2024-03-03
32,5.4,3.4,1.5,0.4,setosa,2024-03-03
33,5.2,4.1,1.5,0.1,setosa,2024-03-03
34,5.5,4.2,1.4,0.2,setosa,2024-03-03
35,4.9,3.1,1.5,0.1,setosa,2024-03-03
36,5.0,3.2,1.2,0.2,setosa,2024-03-03
37,5.5,3.5,1.3,0.2,setosa,2024-03-03
38,4.9,3.1,1.5,0.1,setosa,2024-03-03
39,4.4,3.0,1.3,0.2,setosa,2024-03-03
40,5.1,3.4,1.5,0.2,setosa,2024-03-03
41,5.0,3.5,1.3,0.3,setosa,2024-03-03
42,4.5,2.3,1.3,0.3,setosa,2024-03-03
43,4.4,3.2,1.3,0.2,setosa,2024-03-03
44,5.0,3.5,1.6,0.6,setosa,2024-03-03
45,5.1,3.8,1.9,0.4,setosa,2024-03-03
46,4.8,3.0,1.4,0.3,setosa,2024-03-03
47,5.1,3.8,1.6,0.2,setosa,2024-03-03
48,4.6,3.2,1.4,0.2,setosa,2024-03-03
49,5.3,3.7,1.5,0.2,setosa,2024-03-03
50,5.0,3.3,1.4,0.2,setosa,2024-03-03
51,7.0,3.2,4.7,1.4,versicolor,2024-03-03
52,6.4,3.2,4.5,1.5,versicolor,2024-03-03
53,6.9,3.1,4.9,1.5,versicolor,2024-03-03
54,5.5,2.3,4.0,1.3,versicolor,2024-03-03
55,6.5,2.8,4.6,1.5,versicolor,2024-03-03
56,5.7,2.8,4.5,1.3,versicolor,2024-03-03
57,6.3,3.3,4.7,1.6,versicolor,2024-03-03
58,4.9,2.4,3.3,1.0,versicolor,2024-03-03
59,6.6,2.9,4.6,1.3,versicolor,2024-03-03
60,5.2,2.7,3.9,1.4,versicolor,2024-03-03
61,5.0,2.0,3.5,1.0,versicolor,2024-03-03
62,5.9,3.0,4.2,1.5,versicolor,2024-03-03
63,6.0,2.2,4.0,1.0,versicolor,2024-03-03
64,6.1,2.9,4.7,1.4,versicolor,2024-03-03
65,5.6,2.9,3.6,1.3,versicolor,2024-03-03
66,6.7,3.1,4.4,1.4,versicolor,2024-03-03
67,5.6,3.0,4.5,1.5,versicolor,2024-03-03
68,5.8,2.7,4.1,1.0,versicolor,2024-03-03
69,6.2,2.2,4.5,1.5,versicolor,2024-03-03
70,5.6,2.5,3.9,1.1,versicolor,2024-03-03
71,5.9,3.2,4.8,1.8,versicolor,2024-03-03
72,6.1,2.8,4.0,1.3,versicolor,2024-03-03
73,6.3,2.5,4.9,1.5,versicolor,2024-03-03
74,6.1,2.8,4.7,1.2,versicolor,2024-03-03
75,6.4,2.9,4.3,1.3,versicolor,2024-03-03
76,6.6,3.0,4.4,1.4,versicolor,2024-03-03
77,6.8,2.8,4.8,1.4,versicolor,2024-03-03
78,6.7,3.0,5.0,1.7,versicolor,2024-03-03
79,6.0,2.9,4.5,1.5,versicolor,2024-03-03
80,5.7,2.6,3.5,1.0,versicolor,2024-03-03
81,5.5,2.4,3.8,1.1,versicolor,2024-03-03
82,5.5,2.4,3.7,1.0,versicolor,2024-03-03
83,5.8,2.7,3.9,1.2,versicolor,2024-03-03
